State,ABV,R.D,Twitter_account,Total_death,Tot_cases,Total_test_result,2019_population,Cases_per_100k,Death_per_100k,Test_per_population,Total_tweet_num,Total_covid_tweet_num,Covid_tweet_ratio,Death_tweet_num,Death_tweet_ratio,Econ_tweet_num,Econ_tweet_ratio,Tech_tweet_num,Tech_tweet_ratio,Solution_tweet_num,Solution_tweet_ratio,Home_tweet_num,Home_tweet_ratio,Test_tweet_num,Test_tweet_ratio,Mask_tweet_num,Mask_tweet_ratio,Vaccine_tweet_num,Vaccine_tweet_ratio,Total_death_tweet_num,Total_death_tweet_ratio,Total_econ_tweet_num,Total_econ_tweet_ratio
Arkansas,AR,R,<AsaHutchinson>,1704,99066,1215944,3017804,3282.7,56.5,0.40292345,897,486,0.54180602,1,0.002057613,22,0.04526749,7,0.014403292,145,0.298353909,53,0.109053498,79,0.16255144,54,0.111111111,1,0.002057613,8,0.008918618,59,0.065774805
North Dakota,ND,R,<DougBurgum>,408,32637,733088,762062,4282.7,53.5,0.961979471,481,232,0.482328482,2,0.00862069,16,0.068965517,9,0.038793103,108,0.465517241,32,0.137931034,82,0.353448276,10,0.043103448,1,0.004310345,5,0.01039501,49,0.101871102
Arizona,AZ,R,<dougducey>,5827,231149,1631023,7278717,3175.7,80.1,0.224081112,2484,994,0.400161031,5,0.005030181,117,0.117706237,24,0.024144869,438,0.440643863,61,0.061368209,294,0.295774648,99,0.099597586,4,0.004024145,13,0.005233494,256,0.103059581
California,CA,D,<GavinNewsom>,16943,867317,16892062,39512223,2195.1,42.9,0.427514848,785,285,0.363057325,7,0.024561404,9,0.031578947,27,0.094736842,161,0.564912281,91,0.319298246,47,0.164912281,62,0.21754386,1,0.003508772,18,0.022929936,26,0.033121019
Texas,TX,R,<GregAbbott_TX>,17014,823779,7326919,28995881,2841,58.7,0.25268827,599,213,0.355592654,10,0.046948357,29,0.136150235,2,0.009389671,83,0.389671362,10,0.046948357,51,0.23943662,22,0.103286385,5,0.023474178,19,0.031719533,60,0.100166945
Kentucky,KY,D,<GovAndyBeshear>,1317,87607,1674648,4467673,1960.9,29.5,0.374836744,1634,850,0.520195838,27,0.031764706,50,0.058823529,15,0.017647059,252,0.296470588,42,0.049411765,108,0.127058824,124,0.145882353,4,0.004705882,45,0.02753978,101,0.061811506
Tennessee,TN,R,<GovBillLee>,2909,228744,3340819,6829174,3349.5,42.6,0.489198108,950,401,0.422105263,2,0.004987531,71,0.177057357,4,0.009975062,185,0.461346633,28,0.069825436,142,0.354114713,28,0.069825436,2,0.004987531,14,0.014736842,174,0.183157895
New Hampshire,NH,R,<GovChrisSununu>,467,9694,538613,1359711,712.9,34.3,0.396123147,1309,446,0.340718105,1,0.002242152,45,0.100896861,15,0.033632287,157,0.352017937,45,0.100896861,96,0.215246637,28,0.062780269,0,0,9,0.006875477,163,0.124522536
Alaska,AK,R,<GovDunleavy>,67,10980,532711,731545,1500.9,9.2,0.728199906,413,206,0.498789346,12,0.058252427,44,0.213592233,2,0.009708738,38,0.184466019,11,0.053398058,27,0.131067961,6,0.029126214,0,0,15,0.036319613,91,0.220338983
Montana,MT,D,<GovernorBullock>,241,22821,431134,1068778,2135.2,22.5,0.403389666,606,270,0.445544554,16,0.059259259,38,0.140740741,9,0.033333333,174,0.644444444,67,0.248148148,64,0.237037037,79,0.292592593,1,0.003703704,20,0.0330033,71,0.117161716
Wyoming,WY,R,<GovernorGordon>,57,9025,117779,578759,1559.4,9.8,0.203502667,318,131,0.411949686,5,0.038167939,18,0.13740458,4,0.030534351,70,0.534351145,47,0.358778626,29,0.221374046,8,0.061068702,0,0,11,0.034591195,45,0.141509434
Alabama,AL,R,<GovernorKayIvey>,2788,172626,1253896,4903185,3520.7,56.9,0.255730918,900,273,0.303333333,7,0.025641026,36,0.131868132,5,0.018315018,110,0.402930403,34,0.124542125,34,0.124542125,46,0.168498168,3,0.010989011,15,0.016666667,99,0.11
Idaho,ID,R,<GovernorLittle>,528,53092,350312,1787065,2970.9,29.5,0.196026446,428,122,0.285046729,2,0.016393443,29,0.237704918,3,0.024590164,34,0.278688525,5,0.040983607,17,0.139344262,13,0.106557377,1,0.008196721,5,0.011682243,75,0.175233645
Pennsylvania,PA,D,<GovernorTomWolf>,8492,182212,2314863,12801989,1423.3,66.3,0.180820574,1233,588,0.476885645,13,0.022108844,124,0.210884354,8,0.013605442,266,0.452380952,102,0.173469388,69,0.117346939,137,0.232993197,1,0.00170068,41,0.03325223,188,0.152473642
Virginia,VA,D,<GovernorVA>,3457,166828,2386778,8535519,1954.5,40.5,0.279628925,909,385,0.423542354,6,0.015584416,34,0.088311688,14,0.036363636,152,0.394805195,31,0.080519481,102,0.264935065,23,0.05974026,2,0.005194805,13,0.01430143,82,0.090209021
Wisconsin,WI,D,<GovEvers>,1588,175227,1765796,5822434,3009.5,27.3,0.303274541,961,350,0.364203954,10,0.028571429,29,0.082857143,3,0.008571429,172,0.491428571,60,0.171428571,66,0.188571429,68,0.194285714,3,0.008571429,25,0.026014568,105,0.109261186
Hawaii,HI,D,<GovHawaii>,187,13989,473581,1415872,988,13.2,0.334480094,697,345,0.494978479,29,0.084057971,38,0.110144928,3,0.008695652,150,0.434782609,63,0.182608696,93,0.269565217,13,0.037681159,1,0.002898551,37,0.053084648,85,0.12195122
Utah,UT,R,<GovHerbert>,543,94394,973938,3205958,2944.3,16.9,0.303790006,680,290,0.426470588,5,0.017241379,18,0.062068966,9,0.031034483,163,0.562068966,65,0.224137931,61,0.210344828,57,0.196551724,0,0,11,0.016176471,43,0.063235294
Indiana,IN,R,<GovHolcomb>,3937,147582,2512174,6732219,2192.2,58.5,0.373156904,1158,459,0.396373057,2,0.004357298,47,0.102396514,6,0.013071895,128,0.278867102,57,0.124183007,45,0.098039216,32,0.069716776,0,0,19,0.016407599,124,0.107081174
Washington,WA,D,<GovInslee>,2239,98201,2214560,7614893,1289.6,29.4,0.290819582,1193,456,0.382229673,11,0.024122807,46,0.100877193,8,0.01754386,222,0.486842105,103,0.225877193,69,0.151315789,70,0.153508772,4,0.00877193,32,0.026823135,94,0.078792959
Maine,ME,D,<GovJanetMills>,146,5962,533715,1344212,443.5,10.9,0.397046746,262,80,0.305343511,4,0.05,19,0.2375,2,0.025,27,0.3375,10,0.125,17,0.2125,1,0.0125,0,0,7,0.026717557,56,0.213740458
Georgia,GA,R,<BrianKempGA>,7638,340558,3298458,10617423,3207.5,71.9,0.31066465,500,179,0.358,3,0.016759777,27,0.150837989,9,0.05027933,94,0.525139665,25,0.139664804,56,0.312849162,33,0.184357542,1,0.005586592,4,0.008,66,0.132
South Dakota,SD,R,<govkristinoem>,323,33269,231047,884659,3760.7,36.5,0.261170688,747,243,0.325301205,3,0.012345679,19,0.0781893,1,0.004115226,66,0.271604938,18,0.074074074,46,0.189300412,2,0.008230453,1,0.004115226,7,0.009370817,66,0.088353414
Maryland,MD,R,<GovLarryHogan>,4041,136154,3079162,6045680,2252.1,66.8,0.509316074,1442,658,0.45631068,19,0.02887538,30,0.045592705,144,0.218844985,321,0.487841945,69,0.104863222,220,0.334346505,46,0.069908815,10,0.015197568,30,0.020804438,99,0.068654646
Kansas,KS,D,<GovLauraKelly>,859,70855,589189,2913314,2432.1,29.5,0.202240129,669,243,0.3632287,6,0.024691358,51,0.209876543,3,0.012345679,108,0.444444444,42,0.172839506,40,0.164609053,44,0.181069959,3,0.012345679,14,0.020926756,97,0.144992526
Ohio,OH,R,<GovMikeDeWine>,5067,181787,3900649,11689100,1555.2,43.3,0.333699686,4577,2248,0.491151409,60,0.026690391,96,0.042704626,69,0.03069395,1215,0.540480427,544,0.241992883,438,0.194839858,362,0.161032028,13,0.005782918,138,0.030150754,344,0.075158401
New Mexico,NM,D,<GovMLG>,934,36788,1046727,2096829,1754.5,44.5,0.499195213,1500,796,0.530666667,214,0.268844221,88,0.110552764,31,0.038944724,424,0.532663317,173,0.217336683,180,0.226130653,132,0.165829146,3,0.003768844,231,0.154,180,0.12
New Jersey,NJ,D,<GovMurphy>,16211,220013,4138871,8882190,2477,182.5,0.465974157,5085,2415,0.474926254,232,0.096066253,94,0.038923395,157,0.065010352,1053,0.436024845,356,0.147412008,649,0.26873706,158,0.065424431,13,0.005383023,322,0.0633235,298,0.058603736
Connecticut,CT,D,<GovNedLamont>,4542,62830,1967633,3565287,1762.3,127.4,0.551886286,1877,954,0.508257858,145,0.151991614,28,0.029350105,101,0.105870021,627,0.657232704,63,0.066037736,533,0.55870021,34,0.035639413,8,0.008385744,224,0.119339371,104,0.055407565
Colorado,CO,D,<GovofCO>,2176,85302,1668053,5758736,1481.3,37.8,0.289656098,280,99,0.353571429,2,0.02020202,6,0.060606061,2,0.02020202,60,0.606060606,18,0.181818182,30,0.303030303,17,0.171717172,0,0,9,0.032142857,21,0.075
Missouri,MO,R,<GovParsonMO>,2582,156696,2285067,6137428,2553.1,42.1,0.37231671,2743,1090,0.397375137,17,0.01559633,118,0.108256881,42,0.03853211,501,0.459633028,171,0.156880734,286,0.262385321,71,0.065137615,12,0.011009174,32,0.011666059,376,0.137076194
Vermont,VT,R,<GovPhilScott>,58,1937,178460,623989,310.4,9.3,0.285998631,793,261,0.329129887,4,0.01532567,25,0.095785441,18,0.068965517,127,0.486590038,33,0.126436782,59,0.22605364,46,0.176245211,9,0.034482759,18,0.022698613,102,0.128625473
Rhode Island,RI,D,<GovRaimondo>,1152,27691,974984,1059361,2613.9,108.7,0.920351042,779,150,0.192554557,0,0,12,0.08,9,0.06,108,0.72,60,0.4,41,0.273333333,15,0.1,1,0.006666667,7,0.008985879,104,0.133504493
Nebraska,NE,R,<GovRicketts>,548,58068,539127,1934408,3001.8,28.3,0.278703872,807,310,0.384138786,4,0.012903226,15,0.048387097,2,0.006451613,85,0.274193548,50,0.161290323,30,0.096774194,6,0.019354839,1,0.003225806,9,0.011152416,42,0.05204461
Florida,FL,R,<GovRonDeSantis>,15967,745492,5722392,21477737,3471,74.3,0.266433656,757,283,0.373844122,1,0.003533569,8,0.028268551,25,0.088339223,81,0.286219081,12,0.042402827,65,0.229681979,5,0.017667845,1,0.003533569,3,0.003963012,40,0.052840159
Nevada,NV,D,<GovSisolak>,1757,90357,759508,3080156,2933.5,57,0.246581017,2311,804,0.347901341,12,0.014925373,81,0.100746269,19,0.023631841,438,0.544776119,176,0.218905473,185,0.230099502,103,0.128109453,8,0.009950249,30,0.012981393,275,0.118996106
Oklahoma,OK,R,<GovStitt>,1161,111624,1434831,3956971,2820.9,29.3,0.362608419,782,306,0.391304348,2,0.006535948,45,0.147058824,7,0.022875817,108,0.352941176,36,0.117647059,70,0.22875817,14,0.045751634,1,0.003267974,6,0.007672634,120,0.153452685
Minnesota,MN,D,<GovTimWalz>,2292,124439,2489218,5639632,2206.5,40.6,0.441379508,846,337,0.398345154,5,0.014836795,42,0.12462908,3,0.008902077,208,0.617210682,115,0.341246291,47,0.139465875,70,0.207715134,2,0.005934718,20,0.023640662,95,0.112293144
Michigan,MI,D,<GovWhitmer>,7317,159119,4270757,9986857,1593.3,73.3,0.427637744,497,196,0.394366197,8,0.040816327,15,0.076530612,9,0.045918367,75,0.382653061,24,0.12244898,29,0.147959184,28,0.142857143,0,0,15,0.030181087,36,0.072434608
South Carolina,SC,R,<henrymcmaster>,3650,163990,1601263,5148714,3185.1,70.9,0.311002514,336,86,0.255952381,2,0.023255814,10,0.11627907,3,0.034883721,39,0.453488372,11,0.127906977,13,0.151162791,19,0.220930233,0,0,5,0.014880952,59,0.175595238
Iowa,IA,R,<IAGovernor>,1528,107122,832536,3155070,3395.2,48.4,0.263872434,434,94,0.216589862,0,0,6,0.063829787,0,0,22,0.234042553,2,0.021276596,19,0.20212766,1,0.010638298,0,0,0,0,34,0.078341014
Illinois,IL,D,<JBPritzker>,9474,347635,6779140,12671821,2743.4,74.8,0.53497757,80,16,0.2,2,0.125,2,0.125,1,0.0625,2,0.125,1,0.0625,1,0.0625,0,0,0,0,3,0.0375,6,0.075
Delaware,DE,D,<JohnCarneyDE>,666,23196,327296,973764,2382.1,68.4,0.336114295,1035,406,0.392270531,5,0.012315271,48,0.118226601,12,0.02955665,227,0.5591133,96,0.236453202,112,0.275862069,45,0.110837438,4,0.009852217,12,0.011594203,102,0.098550725
Louisiana,LA,D,<LouisianaGov>,5750,178869,2592598,4648794,3847.6,123.7,0.557692597,1784,637,0.35706278,11,0.017268446,42,0.065934066,71,0.111459969,274,0.430141287,113,0.177394035,77,0.120879121,130,0.204081633,1,0.001569859,44,0.024663677,145,0.081278027
Massachusetts,MA,R,<MassGovernor>,9725,150543,5168943,6892503,2184.2,141.1,0.749936997,751,462,0.61517976,2,0.004329004,49,0.106060606,21,0.045454545,170,0.367965368,43,0.093073593,105,0.227272727,32,0.069264069,4,0.008658009,4,0.005326232,81,0.107856192
North Carolina,NC,D,<NC_Governor>,3934,246028,3617258,10488084,2345.8,37.5,0.344892165,1315,552,0.419771863,26,0.047101449,84,0.152173913,6,0.010869565,253,0.458333333,74,0.134057971,110,0.199275362,72,0.130434783,11,0.019927536,57,0.043346008,202,0.153612167
New York,NY,D,<NYGovCuomo>,33089,485746,12900166,19453561,2497,170.1,0.663126201,1991,830,0.416875942,21,0.025301205,14,0.01686747,30,0.036144578,589,0.709638554,111,0.13373494,341,0.410843373,191,0.230120482,7,0.008433735,47,0.023606228,49,0.024610748
Oregon,OR,D,<OregonGovBrown>,620,39532,785104,4217737,937.3,14.7,0.186143422,968,345,0.356404959,9,0.026086957,35,0.101449275,11,0.031884058,152,0.44057971,67,0.194202899,52,0.150724638,42,0.12173913,2,0.005797101,21,0.021694215,90,0.092975207
Mississippi,MS,R,<tatereeves>,3171,110592,839550,2976149,3715.9,106.5,0.282092731,615,189,0.307317073,11,0.058201058,27,0.142857143,2,0.010582011,95,0.502645503,38,0.201058201,44,0.232804233,21,0.111111111,0,0,23,0.037398374,57,0.092682927
West Virginia,WV,R,<WVGovernor>,399,20081,680872,1792147,1120.5,22.3,0.379919728,912,459,0.503289474,1,0.002178649,16,0.034858388,13,0.02832244,108,0.235294118,58,0.126361656,53,0.11546841,7,0.015250545,1,0.002178649,4,0.004385965,53,0.058114035
